Location,Number of COVID-19 Cases,"COVID-19 Cases per 1,000,000 Population",Deaths from COVID-19,"COVID-19 Deaths per 1,000,000 Population"
United States,"726,645",2213.764489,37941,115.589371
Alabama,"4,655",949.382901,153,31.20420706
Alaska,314,429.228551,9,12.30272916
Arizona,"4,724",649.015479,180,24.72963298
Arkansas,"1,744",577.903668,38,12.59193771
California,"29,890",756.474775,1065,26.95368469
Colorado,"9,047",1571.00447,389,67.54954559
Connecticut,"16,809",4714.627462,1036,290.5796925
Delaware,"2,323",2385.588294,61,62.64351527
District of Columbia,"2,666",3777.546975,91,128.9410258
Florida,"25,277",1176.893078,741,34.5008415
Georgia,"17,669",1664.151461,673,63.38637916
Hawaii,553,390.572029,9,6.356506803
Idaho,"1,655",926.099498,43,24.06179965
Illinois,"29,160",2301.168869,1259,99.35430748
Indiana,"10,641",1580.608117,545,80.95399154
Iowa,"2,513",796.495799,74,23.45431322
Kansas,"1,815",623.001846,85,29.17639499
Kentucky,"2,522",564.499685,137,30.66473307
Louisiana,"23,580",5072.283263,1267,272.5438038
Maine,847,630.108941,32,23.80576873
Maryland,"12,326",2038.811184,421,69.63650077
Massachusetts,"36,399",5280.955264,1404,203.6995849
Michigan,"30,791",3083.152187,2308,231.1037396
Minnesota,"2,209",391.692224,121,21.45530063
Mississippi,"3,974",1335.282608,152,51.07271175
Missouri,"5,579",909.0127,197,32.09813622
Montana,426,398.586049,10,9.356480017
Nebraska,"1,138",588.29368,24,12.40689658
Nevada,"3,626",1177.213102,151,49.02349102
New Hampshire,"1,287",946.524666,37,27.21166483
New Jersey,"81,420",9166.658223,4070,458.2203263
New Mexico,"1,711",815.994056,51,24.32244117
New York,"239,306",12301.398186,17131,880.6099819
North Carolina,"6,320",602.588614,187,17.82975804
North Dakota,528,692.857012,9,11.8100627
Ohio,"10,222",874.489909,451,38.58295335
Oklahoma,"2,465",622.951242,136,34.36972371
Oregon,"1,844",437.201276,72,17.07076567
Pennsylvania,"31,652",2472.428308,1042,81.3936022
Rhode Island,"4,177",3942.942963,118,111.3879027
South Carolina,"4,249",825.254617,119,23.11256753
South Dakota,"1,542",1743.044495,7,7.91265335
Tennessee,"6,589",964.831179,142,20.79314424
Texas,"18,317",631.710414,462,15.93329756
Utah,"2,791",870.566614,23,7.174142643
Vermont,803,1286.88166,37,59.29591708
Virginia,"8,053",943.469284,258,30.22663297
Washington,"11,735",1541.05908,611,80.23750301
West Virginia,785,438.022104,16,8.927839067
Wisconsin,"4,199",721.176058,212,36.41088933
Wyoming,305,526.989645,2,3.455669804
Puerto Rico,"1,118",350.064847,60,18.78702218
Guam,136,NA,5,NA
USVI,53,NA,3,NA
Northern Mariana Islands,14,NA,2,NA